config_id,alpha,beta,gamma,delta,lr,sigma,epochs,use_scheduler,ari,nmi,score,time
145,0.05,0.005,0.8,0.12,0.0001,0.4,80,False,0.6852,0.5708,0.6394,2.29
146,0.05,0.005,0.8,0.12,0.0001,0.4,80,True,0.5318,0.4868,0.5138,2.29
147,0.05,0.005,0.8,0.12,0.0001,0.4,100,False,0.7254,0.6688,0.7028,2.86
148,0.05,0.005,0.8,0.12,0.0001,0.4,100,True,0.6011,0.5608,0.5850,2.86
149,0.05,0.005,0.8,0.12,0.0001,0.5,80,False,0.5540,0.5178,0.5395,2.29
150,0.05,0.005,0.8,0.12,0.0001,0.5,80,True,0.4799,0.5001,0.4879,2.29
151,0.05,0.005,0.8,0.12,0.0001,0.5,100,False,0.5911,0.5179,0.5618,2.87
152,0.05,0.005,0.8,0.12,0.0001,0.5,100,True,0.6185,0.5234,0.5805,2.86
153,0.05,0.005,0.8,0.12,0.0001,0.6,80,False,0.4727,0.4794,0.4754,2.29
154,0.05,0.005,0.8,0.12,0.0001,0.6,80,True,0.4361,0.4149,0.4276,2.29
155,0.05,0.005,0.8,0.12,0.0001,0.6,100,False,0.5398,0.5408,0.5402,2.86
156,0.05,0.005,0.8,0.12,0.0001,0.6,100,True,0.4203,0.4638,0.4377,2.87
157,0.05,0.005,0.8,0.12,0.0001,0.7,80,False,0.5599,0.5223,0.5449,2.29
158,0.05,0.005,0.8,0.12,0.0001,0.7,80,True,0.3460,0.4258,0.3779,2.29
159,0.05,0.005,0.8,0.12,0.0001,0.7,100,False,0.6371,0.5673,0.6092,2.86
160,0.05,0.005,0.8,0.12,0.0001,0.7,100,True,0.4578,0.5365,0.4893,2.86
161,0.05,0.005,0.8,0.12,0.00012,0.4,80,False,0.6622,0.6240,0.6469,2.29
162,0.05,0.005,0.8,0.12,0.00012,0.4,80,True,0.5739,0.4996,0.5442,2.29
163,0.05,0.005,0.8,0.12,0.00012,0.4,100,False,0.6365,0.5747,0.6118,2.86
164,0.05,0.005,0.8,0.12,0.00012,0.4,100,True,0.5811,0.5394,0.5644,2.86
165,0.05,0.005,0.8,0.12,0.00012,0.5,80,False,0.5451,0.4675,0.5140,2.29
166,0.05,0.005,0.8,0.12,0.00012,0.5,80,True,0.5117,0.4946,0.5048,2.29
167,0.05,0.005,0.8,0.12,0.00012,0.5,100,False,0.5798,0.5468,0.5666,2.86
168,0.05,0.005,0.8,0.12,0.00012,0.5,100,True,0.2323,0.2693,0.2471,2.86
169,0.05,0.005,0.8,0.12,0.00012,0.6,80,False,0.3816,0.3871,0.3838,2.29
170,0.05,0.005,0.8,0.12,0.00012,0.6,80,True,0.5053,0.4836,0.4966,2.29
171,0.05,0.005,0.8,0.12,0.00012,0.6,100,False,0.7019,0.6182,0.6684,2.86
172,0.05,0.005,0.8,0.12,0.00012,0.6,100,True,0.6010,0.5317,0.5733,2.86
173,0.05,0.005,0.8,0.12,0.00012,0.7,80,False,0.5248,0.5177,0.5220,2.29
