task_id,config_id,alpha,beta,gamma,delta,lr,sigma,epochs,use_scheduler,ari,nmi,score,time
1,312,0.03,0.003,0.8,0.08,9e-05,0.4,250,True,0.6011,0.5902,0.5968,7.17
1,313,0.03,0.003,0.8,0.08,9e-05,0.45,250,False,0.6108,0.5061,0.5689,7.17
1,314,0.03,0.003,0.8,0.08,9e-05,0.45,250,True,0.5402,0.5167,0.5308,6.32
1,315,0.03,0.003,0.8,0.08,9e-05,0.5,250,False,0.6854,0.5723,0.6402,7.17
1,316,0.03,0.003,0.8,0.08,9e-05,0.5,250,True,0.6732,0.5705,0.6321,6.89
1,317,0.03,0.003,0.8,0.08,9e-05,0.55,250,False,0.5667,0.5351,0.5541,7.17
1,318,0.03,0.003,0.8,0.08,9e-05,0.55,250,True,0.6902,0.6101,0.6582,5.17
1,319,0.03,0.003,0.8,0.08,9e-05,0.6,250,False,0.6441,0.6032,0.6277,7.17
1,320,0.03,0.003,0.8,0.08,9e-05,0.6,250,True,0.5964,0.5338,0.5714,6.32
1,321,0.03,0.003,0.8,0.08,0.0001,0.4,250,False,0.6558,0.5732,0.6228,7.17
1,322,0.03,0.003,0.8,0.08,0.0001,0.4,250,True,0.5039,0.4788,0.4939,7.17
1,323,0.03,0.003,0.8,0.08,0.0001,0.45,250,False,0.6040,0.5714,0.5910,7.17
1,324,0.03,0.003,0.8,0.08,0.0001,0.45,250,True,0.5815,0.5864,0.5835,5.74
1,325,0.03,0.003,0.8,0.08,0.0001,0.5,250,False,0.6025,0.5499,0.5815,7.17
1,326,0.03,0.003,0.8,0.08,0.0001,0.5,250,True,0.6631,0.5734,0.6272,7.17
1,327,0.03,0.003,0.8,0.08,0.0001,0.55,250,False,0.5027,0.4679,0.4888,6.89
1,328,0.03,0.003,0.8,0.08,0.0001,0.55,250,True,0.5843,0.5645,0.5764,6.89
1,329,0.03,0.003,0.8,0.08,0.0001,0.6,250,False,0.6546,0.5772,0.6236,5.74
1,330,0.03,0.003,0.8,0.08,0.0001,0.6,250,True,0.6304,0.5931,0.6155,7.17
1,331,0.03,0.003,0.8,0.08,0.00011,0.4,250,False,0.5673,0.5517,0.5611,5.75
1,332,0.03,0.003,0.8,0.08,0.00011,0.4,250,True,0.6502,0.5983,0.6295,6.32
1,333,0.03,0.003,0.8,0.08,0.00011,0.45,250,False,0.5893,0.5295,0.5654,6.32
1,334,0.03,0.003,0.8,0.08,0.00011,0.45,250,True,0.6821,0.6294,0.6610,5.74
1,335,0.03,0.003,0.8,0.08,0.00011,0.5,250,False,0.3673,0.4640,0.4059,7.17
1,336,0.03,0.003,0.8,0.08,0.00011,0.5,250,True,0.6010,0.5492,0.5803,7.17
1,337,0.03,0.003,0.8,0.08,0.00011,0.55,250,False,0.5956,0.5605,0.5815,7.17
1,338,0.03,0.003,0.8,0.08,0.00011,0.55,250,True,0.4397,0.4741,0.4534,7.17
1,339,0.03,0.003,0.8,0.08,0.00011,0.6,250,False,0.6567,0.6040,0.6356,7.17
1,340,0.03,0.003,0.8,0.08,0.00011,0.6,250,True,0.5535,0.4823,0.5250,7.17
1,341,0.03,0.003,0.8,0.08,0.00012,0.4,250,False,0.6437,0.5630,0.6114,7.17
1,342,0.03,0.003,0.8,0.08,0.00012,0.4,250,True,0.5552,0.5370,0.5480,4.60
1,343,0.03,0.003,0.8,0.08,0.00012,0.45,250,False,0.5905,0.5661,0.5807,5.75
1,344,0.03,0.003,0.8,0.08,0.00012,0.45,250,True,0.3712,0.5018,0.4234,7.17
1,345,0.03,0.003,0.8,0.08,0.00012,0.5,250,False,0.6065,0.5442,0.5815,6.90
1,346,0.03,0.003,0.8,0.08,0.00012,0.5,250,True,0.6404,0.5939,0.6218,7.17
1,347,0.03,0.003,0.8,0.08,0.00012,0.55,250,False,0.6051,0.5783,0.5944,6.32
1,348,0.03,0.003,0.8,0.08,0.00012,0.55,250,True,0.6544,0.5681,0.6199,6.89
1,349,0.03,0.003,0.8,0.08,0.00012,0.6,250,False,0.5721,0.5692,0.5709,7.17
1,350,0.03,0.003,0.8,0.08,0.00012,0.6,250,True,0.6200,0.5711,0.6004,7.17
1,351,0.03,0.003,0.8,0.1,8e-05,0.4,250,False,0.6029,0.5498,0.5817,6.32
1,352,0.03,0.003,0.8,0.1,8e-05,0.4,250,True,0.3620,0.4765,0.4078,7.17
1,353,0.03,0.003,0.8,0.1,8e-05,0.45,250,False,0.5993,0.5798,0.5915,7.17
1,354,0.03,0.003,0.8,0.1,8e-05,0.45,250,True,0.5407,0.5072,0.5273,6.32
1,355,0.03,0.003,0.8,0.1,8e-05,0.5,250,False,0.5851,0.5986,0.5905,7.17
1,356,0.03,0.003,0.8,0.1,8e-05,0.5,250,True,0.6436,0.5565,0.6087,5.75
1,357,0.03,0.003,0.8,0.1,8e-05,0.55,250,False,0.7063,0.6051,0.6658,5.75
1,358,0.03,0.003,0.8,0.1,8e-05,0.55,250,True,0.5504,0.4991,0.5299,7.17
1,359,0.03,0.003,0.8,0.1,8e-05,0.6,250,False,0.5672,0.5118,0.5450,7.17
1,360,0.03,0.003,0.8,0.1,8e-05,0.6,250,True,0.6150,0.5886,0.6044,7.17
1,361,0.03,0.003,0.8,0.1,9e-05,0.4,250,False,0.5827,0.5099,0.5536,7.17
1,362,0.03,0.003,0.8,0.1,9e-05,0.4,250,True,0.6218,0.5962,0.6115,7.17
1,363,0.03,0.003,0.8,0.1,9e-05,0.45,250,False,0.5888,0.5190,0.5609,6.32
1,364,0.03,0.003,0.8,0.1,9e-05,0.45,250,True,0.5699,0.5574,0.5649,7.17
1,365,0.03,0.003,0.8,0.1,9e-05,0.5,250,False,0.5860,0.5214,0.5602,7.17
1,366,0.03,0.003,0.8,0.1,9e-05,0.5,250,True,0.4865,0.5501,0.5119,7.17
1,367,0.03,0.003,0.8,0.1,9e-05,0.55,250,False,0.5954,0.5836,0.5907,7.17
1,368,0.03,0.003,0.8,0.1,9e-05,0.55,250,True,0.5450,0.5184,0.5344,6.89
1,369,0.03,0.003,0.8,0.1,9e-05,0.6,250,False,0.5831,0.5497,0.5697,7.17
1,370,0.03,0.003,0.8,0.1,9e-05,0.6,250,True,0.5938,0.5131,0.5615,7.17
1,371,0.03,0.003,0.8,0.1,0.0001,0.4,250,False,0.6824,0.5826,0.6425,7.17
1,372,0.03,0.003,0.8,0.1,0.0001,0.4,250,True,0.6150,0.5535,0.5904,6.32
1,373,0.03,0.003,0.8,0.1,0.0001,0.45,250,False,0.5962,0.5779,0.5888,5.75
1,374,0.03,0.003,0.8,0.1,0.0001,0.45,250,True,0.6426,0.5936,0.6230,7.17
1,375,0.03,0.003,0.8,0.1,0.0001,0.5,250,False,0.7061,0.6397,0.6795,6.32
1,376,0.03,0.003,0.8,0.1,0.0001,0.5,250,True,0.5836,0.5617,0.5748,7.17
1,377,0.03,0.003,0.8,0.1,0.0001,0.55,250,False,0.6027,0.5608,0.5859,6.32
1,378,0.03,0.003,0.8,0.1,0.0001,0.55,250,True,0.4200,0.4947,0.4499,5.17
1,379,0.03,0.003,0.8,0.1,0.0001,0.6,250,False,0.6085,0.6122,0.6100,7.17
1,380,0.03,0.003,0.8,0.1,0.0001,0.6,250,True,0.6880,0.5645,0.6386,7.17
1,381,0.03,0.003,0.8,0.1,0.00011,0.4,250,False,0.6685,0.5863,0.6356,6.32
1,382,0.03,0.003,0.8,0.1,0.00011,0.4,250,True,0.6671,0.5997,0.6401,7.17
1,383,0.03,0.003,0.8,0.1,0.00011,0.45,250,False,0.5940,0.5954,0.5946,7.17
1,384,0.03,0.003,0.8,0.1,0.00011,0.45,250,True,0.5742,0.5125,0.5495,7.17
1,385,0.03,0.003,0.8,0.1,0.00011,0.5,250,False,0.7352,0.6128,0.6863,6.32
1,386,0.03,0.003,0.8,0.1,0.00011,0.5,250,True,0.6293,0.5706,0.6058,7.17
1,387,0.03,0.003,0.8,0.1,0.00011,0.55,250,False,0.6250,0.5756,0.6053,7.17
1,388,0.03,0.003,0.8,0.1,0.00011,0.55,250,True,0.5511,0.5619,0.5554,7.17
1,389,0.03,0.003,0.8,0.1,0.00011,0.6,250,False,0.6494,0.5548,0.6116,5.17
1,390,0.03,0.003,0.8,0.1,0.00011,0.6,250,True,0.6675,0.5940,0.6381,7.17
1,391,0.03,0.003,0.8,0.1,0.00012,0.4,250,False,0.5561,0.5032,0.5349,5.74
1,392,0.03,0.003,0.8,0.1,0.00012,0.4,250,True,0.6264,0.5970,0.6146,5.75
1,393,0.03,0.003,0.8,0.1,0.00012,0.45,250,False,0.5553,0.5245,0.5430,7.17
1,394,0.03,0.003,0.8,0.1,0.00012,0.45,250,True,0.5987,0.5807,0.5915,5.74
1,395,0.03,0.003,0.8,0.1,0.00012,0.5,250,False,0.5866,0.5524,0.5729,6.32
1,396,0.03,0.003,0.8,0.1,0.00012,0.5,250,True,0.3721,0.4922,0.4201,7.17
1,397,0.03,0.003,0.8,0.1,0.00012,0.55,250,False,0.6999,0.6073,0.6629,5.74
1,398,0.03,0.003,0.8,0.1,0.00012,0.55,250,True,0.6678,0.6074,0.6437,7.17
1,399,0.03,0.003,0.8,0.1,0.00012,0.6,250,False,0.6808,0.5752,0.6386,7.17
